P1 P2 P3 P4 P5 P6 P7 P8
ENSG00000122691_LINE162_TWIST1_D -8.37912285981621 -4.94467310519368 -2.10107494745553 -0.963431390466311 1.68858060491024 5.57696873451704 3.36046436028981 2.53657133193147
ENSG00000122859_LINE163_NEUROG3_I -2.71273991075691 -0.881003961835241 0.551941936842616 2.88108688470703 1.85718935484612 0.307984509839017 -1.36741864716884 -2.40152388837233
ENSG00000123095_LINE165_BHLHE41_D_N2 -2.22584124049703 -4.43788251058103 -5.61054101509979 -4.43929319404941 -4.39191876316483 -1.31016377901912 5.71010289407235 7.81736230409162
ENSG00000125533_LINE171_BHLHE23_D -3.16988913240614 -1.75929741350842 -0.887293566658911 1.75408802920449 2.29961706133307 1.26457927678356 -0.052365201246783 -1.54289430139077
ENSG00000125878_LINE172_TCF15_I -1.19560148136043 -0.826223672109712 0.491923479552301 1.98844318104022 2.90607830711958 1.70797675892817 -1.05366633656778 -3.40437212268943
ENSG00000125968_LINE173_ID1_I -1.18788940092919 -0.698845834994621 -0.270072915251187 -0.282348161488455 -3.70015323093559 -2.57048128235396 3.2547714849291 3.04611430898635
ENSG00000129152_LINE176_MYOD1_D_N3 -9.35851918133705 -5.1616797859756 -0.898709967624378 1.32901504129422 3.9271290987786 6.09630235886053 2.15997421562811 -1.18047997338913
ENSG00000130751_LINE178_NPAS1_I 0.888830760872704 -0.413080919722826 -1.13565285301341 -1.78237944353366 -1.71060365974842 -1.06812449843243 1.69418931301929 2.55315403090461
ENSG00000133794_LINE179_ARNTL_D_N1 -1.42051961787383 -6.29807601880822 -7.03300519406405 -5.80267419984288 -4.57928242967134 -0.208356346090866 6.8939008999381 8.65580897511114
ENSG00000134107_LINE183_BHLHE40_D_N3 -2.06913816209186 -4.81277969833253 -6.5146920820736 -5.70538598355142 -5.94698014189346 -1.61011451831427 7.79636162506062 9.22956340141684
ENSG00000134323_LINE186_MYCN_D_N2 0.277019314474351 1.43862576844551 2.41420752366848 1.09947118235223 -5.60971376842965 -4.44014724193943 1.28794783712066 2.06724755278861
ENSG00000134852_LINE191_CLOCK_D 0.0246399669488329 -1.53331675542946 -1.13633443067516 -0.399246676921256 -2.68555953698959 -0.409152948700606 2.71195531109597 2.50895641986177
ENSG00000135547_LINE193_HEY2_D_N2 -2.63609977400607 -0.682898216822471 -0.510224060856486 -0.96887199255035 -5.68695557229704 -2.40660059687018 3.0974075581917 4.12715212712628
ENSG00000136997_LINE202_MYC_D_N7 1.23693239208369 1.92592114108357 3.13132696524084 1.16900956750842 -4.28308468614456 -4.90196689916388 0.725365402901888 1.11960356195033
ENSG00000140262_LINE216_TCF12_D_N3 -4.70619643713115 -2.18094541288089 2.01796076399699 5.47396575952506 6.45239331303267 3.28309031854036 -2.14323851009215 -6.67344143028972
ENSG00000143437_LINE220_ARNT_D_N2 -1.55916339913407 -4.67634413490032 -6.25068307950548 -5.58601552409524 -4.77390572657647 -1.38526159614169 7.30039563707888 8.52870217913544
ENSG00000146618_LINE224_FERD3L_I -2.75414340682247 -3.33635083908486 -0.313779885971488 1.72123527644551 4.03133272007624 3.2071340377339 -0.244768237930442 -2.78678623215292
ENSG00000151322_LINE225_NPAS3_I 0.888830760872704 -0.413080919722826 -1.13565285301341 -1.78237944353366 -1.71060365974842 -1.06812449843243 1.69418931301929 2.55315403090461
ENSG00000158773_LINE237_USF1_D_N10 0.428060026315634 -5.41950316214041 -5.5011376371504 -5.1578900554254 -6.34372762425396 -1.8109004089285 7.85962728230831 9.26025611830348
ENSG00000159263_LINE238_SIM2_I 0.888830760872704 -0.413080919722826 -1.13565285301341 -1.78237944353366 -1.71060365974842 -1.06812449843243 1.69418931301929 2.55315403090461
ENSG00000162367_LINE243_TAL1_D_N1 -3.82117871992741 -1.18056008469734 2.4108392348361 5.19217703597097 6.59356013758907 2.02674644427327 -4.52302900392006 -7.90575210952223
ENSG00000162992_LINE247_NEUROD1_D -10.868493298295 -3.85243704630252 1.02477959877656 4.11605676173406 4.36405232001831 3.20209370914383 -0.573388675942309 -2.09608249192761
ENSG00000163792_LINE248_TCF23_I -4.04154870856662 -3.35602917965733 -0.644165726251263 2.19637135979741 5.04001984729167 2.6023270024704 -0.524922958728802 -2.90992837507966
